epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,2502.86,1.13773,1.29082,1.42817,0.64079,0.56832,0.60175,0.4715,1.41687,1.61781,1.63001,0.000307,0.000307,0.000307
107,2525.74,1.14576,1.29197,1.4294,0.65269,0.56596,0.60549,0.47464,1.40962,1.6094,1.63079,0.0003004,0.0003004,0.0003004
108,2548.94,1.13546,1.27998,1.41991,0.61258,0.59461,0.60426,0.47523,1.42111,1.63076,1.62906,0.0002938,0.0002938,0.0002938
109,2571.98,1.13662,1.29039,1.42214,0.65638,0.58891,0.61078,0.47406,1.40548,1.61498,1.62101,0.0002872,0.0002872,0.0002872
110,2594.99,1.12498,1.2562,1.40998,0.63097,0.59801,0.60992,0.47453,1.42524,1.62328,1.64603,0.0002806,0.0002806,0.0002806
111,2618.31,1.13196,1.27718,1.41869,0.62663,0.60247,0.60813,0.47457,1.40921,1.60631,1.63007,0.000274,0.000274,0.000274
112,2641.56,1.12229,1.26249,1.40749,0.61099,0.5956,0.60479,0.47379,1.4141,1.60664,1.6262,0.0002674,0.0002674,0.0002674
113,2664.65,1.12233,1.2544,1.40513,0.6411,0.58071,0.60739,0.47857,1.41456,1.60976,1.62345,0.0002608,0.0002608,0.0002608
114,2687.41,1.11198,1.23469,1.39921,0.60384,0.60447,0.60664,0.47534,1.41557,1.60519,1.62846,0.0002542,0.0002542,0.0002542
115,2710.73,1.12498,1.26814,1.41749,0.62008,0.59559,0.6109,0.47931,1.40486,1.58803,1.62195,0.0002476,0.0002476,0.0002476
116,2734.11,1.11444,1.23331,1.40298,0.65643,0.58686,0.61069,0.47745,1.40843,1.58244,1.61963,0.000241,0.000241,0.000241
117,2757.11,1.10458,1.23379,1.39393,0.61655,0.59625,0.61084,0.48014,1.40409,1.59796,1.61562,0.0002344,0.0002344,0.0002344
118,2780.15,1.10261,1.22131,1.39451,0.61586,0.60584,0.61384,0.47799,1.42807,1.59061,1.63892,0.0002278,0.0002278,0.0002278
119,2803.58,1.10388,1.21691,1.39634,0.63964,0.59079,0.60869,0.47605,1.42722,1.60368,1.63802,0.0002212,0.0002212,0.0002212
120,2826.58,1.09576,1.22655,1.38762,0.62017,0.60842,0.61488,0.4756,1.41726,1.58408,1.63198,0.0002146,0.0002146,0.0002146
121,2849.57,1.10647,1.21611,1.39426,0.64059,0.5832,0.6094,0.47655,1.40655,1.58672,1.62337,0.000208,0.000208,0.000208
122,2872.52,1.09818,1.21187,1.38458,0.67442,0.57715,0.61297,0.47787,1.4082,1.58524,1.61887,0.0002014,0.0002014,0.0002014
123,2895.66,1.08891,1.20631,1.38088,0.63794,0.59691,0.61738,0.48019,1.41118,1.57288,1.62473,0.0001948,0.0001948,0.0001948
124,2918.76,1.10337,1.20922,1.39303,0.68276,0.57766,0.61465,0.47792,1.41881,1.57656,1.62443,0.0001882,0.0001882,0.0001882
125,2941.94,1.09189,1.21468,1.38654,0.63137,0.58939,0.60997,0.47776,1.41323,1.58915,1.62076,0.0001816,0.0001816,0.0001816
126,2965.33,1.07877,1.17441,1.37903,0.62324,0.61595,0.6127,0.47697,1.42203,1.59028,1.62514,0.000175,0.000175,0.000175
127,2988.48,1.07972,1.18906,1.38232,0.64085,0.58594,0.60889,0.47791,1.4186,1.59153,1.62476,0.0001684,0.0001684,0.0001684
128,3011.67,1.0773,1.18678,1.38182,0.65445,0.59308,0.61414,0.48087,1.4138,1.59256,1.62481,0.0001618,0.0001618,0.0001618
129,3034.83,1.07149,1.1766,1.36898,0.65235,0.58872,0.61199,0.47497,1.41939,1.59161,1.63015,0.0001552,0.0001552,0.0001552
130,3057.91,1.08154,1.19189,1.37928,0.63591,0.61045,0.6131,0.48011,1.4195,1.58415,1.63039,0.0001486,0.0001486,0.0001486
131,3081.17,1.07795,1.1846,1.37147,0.64746,0.59748,0.61202,0.47964,1.42266,1.58056,1.63246,0.000142,0.000142,0.000142
132,3104.4,1.06511,1.17301,1.36498,0.64809,0.59418,0.6126,0.48069,1.4277,1.5903,1.63575,0.0001354,0.0001354,0.0001354
133,3127.67,1.05873,1.1618,1.35773,0.66902,0.59285,0.61374,0.4814,1.4193,1.58006,1.62671,0.0001288,0.0001288,0.0001288
134,3150.58,1.07822,1.18646,1.37982,0.65785,0.59923,0.61094,0.47718,1.42524,1.58161,1.639,0.0001222,0.0001222,0.0001222
135,3173.67,1.05546,1.14904,1.363,0.64987,0.60212,0.61181,0.47989,1.41959,1.58182,1.63383,0.0001156,0.0001156,0.0001156
136,3196.92,1.06605,1.16168,1.35916,0.65646,0.59136,0.61231,0.47847,1.41566,1.58118,1.6286,0.000109,0.000109,0.000109
137,3220.16,1.05473,1.15511,1.35444,0.63646,0.59583,0.61067,0.48054,1.42288,1.58934,1.63663,0.0001024,0.0001024,0.0001024
138,3243.34,1.06194,1.14861,1.36402,0.65158,0.59462,0.61579,0.48212,1.41797,1.57663,1.62898,9.58e-05,9.58e-05,9.58e-05
139,3266.37,1.0542,1.15494,1.35909,0.65231,0.59267,0.61335,0.48215,1.42414,1.56496,1.63446,8.92e-05,8.92e-05,8.92e-05
140,3289.92,1.06365,1.14379,1.35972,0.66891,0.58394,0.6138,0.48199,1.42384,1.56882,1.63568,8.26e-05,8.26e-05,8.26e-05
141,3314.43,1.03994,1.08108,1.32391,0.67479,0.57272,0.60376,0.4714,1.45207,1.59731,1.67587,7.6e-05,7.6e-05,7.6e-05
142,3337.71,0.9902,0.99753,1.28876,0.66389,0.57342,0.60701,0.47391,1.44956,1.59068,1.67152,6.94e-05,6.94e-05,6.94e-05
143,3361,0.99079,0.9988,1.2923,0.66848,0.57578,0.61088,0.47806,1.44069,1.58514,1.66662,6.28e-05,6.28e-05,6.28e-05
144,3383.92,0.98768,0.99063,1.28643,0.67966,0.57801,0.61075,0.47903,1.42913,1.58113,1.65522,5.62e-05,5.62e-05,5.62e-05
145,3406.98,0.97482,0.9692,1.28243,0.68883,0.57883,0.61169,0.47871,1.43873,1.58648,1.66401,4.96e-05,4.96e-05,4.96e-05
146,3430.17,0.97453,0.96493,1.27787,0.69793,0.5725,0.60973,0.47718,1.44079,1.58602,1.66745,4.3e-05,4.3e-05,4.3e-05
147,3453.03,0.97755,0.95795,1.27798,0.69459,0.57577,0.60993,0.47946,1.43945,1.58529,1.66811,3.64e-05,3.64e-05,3.64e-05
148,3476.1,0.97234,0.97754,1.27957,0.70437,0.57637,0.61056,0.48076,1.44031,1.58544,1.66862,2.98e-05,2.98e-05,2.98e-05
149,3499.13,0.96078,0.94996,1.2658,0.7023,0.57053,0.6115,0.48159,1.43763,1.58204,1.66613,2.32e-05,2.32e-05,2.32e-05
150,3522.03,0.9656,0.96012,1.26915,0.68344,0.57923,0.61092,0.48052,1.43857,1.58587,1.66675,1.66e-05,1.66e-05,1.66e-05
