epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,2374.3,0.89174,0.87075,1.27673,0.70519,0.62494,0.65369,0.51628,1.38992,1.49337,1.75697,0.0002938,0.0002938,0.0002938
109,2396.32,0.87875,0.86544,1.27369,0.73833,0.61876,0.65528,0.51712,1.38376,1.48542,1.75156,0.0002872,0.0002872,0.0002872
110,2418.3,0.87057,0.8345,1.26396,0.71075,0.62248,0.64957,0.51664,1.3722,1.46819,1.74992,0.0002806,0.0002806,0.0002806
111,2439.88,0.86999,0.84958,1.26552,0.72919,0.61485,0.64995,0.51334,1.38583,1.4676,1.76276,0.000274,0.000274,0.000274
112,2461.72,0.87164,0.84732,1.26865,0.70283,0.6247,0.6529,0.50997,1.40389,1.47143,1.77483,0.0002674,0.0002674,0.0002674
113,2483.72,0.86207,0.82775,1.25576,0.72219,0.62736,0.65365,0.51628,1.38793,1.47918,1.76079,0.0002608,0.0002608,0.0002608
114,2505.46,0.84434,0.80339,1.24142,0.70882,0.63069,0.65027,0.51514,1.39291,1.49826,1.76879,0.0002542,0.0002542,0.0002542
115,2527.2,0.8606,0.82943,1.25976,0.66965,0.657,0.65056,0.51647,1.38321,1.47712,1.75673,0.0002476,0.0002476,0.0002476
116,2548.69,0.83717,0.80304,1.24162,0.70397,0.64022,0.65694,0.51638,1.39728,1.4718,1.77103,0.000241,0.000241,0.000241
117,2570.46,0.83976,0.795,1.23737,0.68992,0.64498,0.65633,0.51898,1.38903,1.47708,1.76906,0.0002344,0.0002344,0.0002344
118,2592.59,0.83021,0.78092,1.23637,0.69618,0.64488,0.65631,0.52143,1.37492,1.48708,1.75893,0.0002278,0.0002278,0.0002278
119,2614.65,0.82578,0.77694,1.23008,0.70691,0.61978,0.65074,0.51559,1.38745,1.48563,1.77695,0.0002212,0.0002212,0.0002212
120,2636.36,0.82293,0.76965,1.22503,0.69649,0.64904,0.65642,0.5202,1.38405,1.50226,1.76886,0.0002146,0.0002146,0.0002146
121,2657.79,0.82016,0.7576,1.22266,0.71754,0.62679,0.65621,0.51858,1.3931,1.48643,1.77955,0.000208,0.000208,0.000208
122,2679.59,0.81978,0.76415,1.22027,0.70451,0.6366,0.65569,0.52035,1.38671,1.47588,1.77393,0.0002014,0.0002014,0.0002014
123,2701.42,0.80471,0.74461,1.21086,0.66946,0.66474,0.65358,0.51666,1.38802,1.47634,1.78075,0.0001948,0.0001948,0.0001948
124,2723.25,0.80712,0.74577,1.21356,0.70992,0.64034,0.65073,0.51531,1.39108,1.48449,1.78674,0.0001882,0.0001882,0.0001882
125,2744.97,0.797,0.74382,1.20839,0.70297,0.64532,0.65369,0.51836,1.40425,1.49868,1.79666,0.0001816,0.0001816,0.0001816
126,2766.58,0.78854,0.72453,1.20404,0.73026,0.63158,0.65159,0.51683,1.40995,1.49373,1.79825,0.000175,0.000175,0.000175
127,2788.24,0.78359,0.72619,1.20141,0.7437,0.61547,0.6528,0.51656,1.39931,1.48579,1.78679,0.0001684,0.0001684,0.0001684
128,2810.4,0.77547,0.71979,1.19934,0.70524,0.63258,0.64762,0.51654,1.40316,1.49732,1.79838,0.0001618,0.0001618,0.0001618
129,2832.23,0.77109,0.70775,1.18726,0.71079,0.64016,0.65511,0.51981,1.39967,1.49477,1.79629,0.0001552,0.0001552,0.0001552
130,2853.9,0.77702,0.71213,1.1951,0.69203,0.63174,0.64739,0.51658,1.40058,1.52748,1.79822,0.0001486,0.0001486,0.0001486
131,2875.67,0.76895,0.7009,1.18462,0.72871,0.62619,0.654,0.51961,1.40109,1.50168,1.80547,0.000142,0.000142,0.000142
132,2897,0.75989,0.69383,1.17651,0.6964,0.64184,0.6541,0.52065,1.38769,1.51412,1.78934,0.0001354,0.0001354,0.0001354
133,2918.91,0.75352,0.68218,1.17296,0.71078,0.63347,0.65247,0.51947,1.38483,1.50155,1.79503,0.0001288,0.0001288,0.0001288
134,2940.86,0.76054,0.69728,1.18575,0.70223,0.63267,0.65122,0.51939,1.38642,1.51116,1.79683,0.0001222,0.0001222,0.0001222
135,2962.78,0.74035,0.66977,1.17038,0.68732,0.64802,0.65212,0.52056,1.39041,1.51967,1.79338,0.0001156,0.0001156,0.0001156
136,2984.4,0.7486,0.67452,1.16745,0.67726,0.64993,0.65165,0.51788,1.40071,1.52934,1.80719,0.000109,0.000109,0.000109
