epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,2777.15,0.82382,0.7369,1.20785,0.68922,0.61009,0.62477,0.49781,1.53807,1.63387,1.91424,0.0001816,0.0001816,0.0001816
126,2798.95,0.81639,0.71672,1.20171,0.68194,0.6132,0.62922,0.49744,1.54311,1.6607,1.90637,0.000175,0.000175,0.000175
127,2820.62,0.81744,0.72221,1.20781,0.68164,0.61434,0.6271,0.49744,1.53509,1.66437,1.90127,0.0001684,0.0001684,0.0001684
128,2842.31,0.80971,0.72242,1.20449,0.68502,0.60844,0.62807,0.4985,1.53359,1.63863,1.9007,0.0001618,0.0001618,0.0001618
129,2864.32,0.80804,0.71392,1.19564,0.7054,0.59207,0.62507,0.49901,1.53365,1.64922,1.90443,0.0001552,0.0001552,0.0001552
130,2886.31,0.8079,0.71445,1.19881,0.70055,0.59891,0.62055,0.49697,1.52017,1.67071,1.88926,0.0001486,0.0001486,0.0001486
131,2908.31,0.81019,0.71145,1.19691,0.70448,0.60359,0.62568,0.4996,1.52782,1.65535,1.89624,0.000142,0.000142,0.000142
132,2930.11,0.79436,0.70694,1.18419,0.70316,0.61184,0.62808,0.50214,1.51572,1.64949,1.88893,0.0001354,0.0001354,0.0001354
133,2952.05,0.79443,0.69604,1.18715,0.69879,0.59836,0.62551,0.49673,1.52451,1.65124,1.89315,0.0001288,0.0001288,0.0001288
134,2974,0.80007,0.70772,1.19525,0.67727,0.61664,0.62487,0.49724,1.52595,1.66195,1.89454,0.0001222,0.0001222,0.0001222
135,2995.78,0.78158,0.6817,1.18258,0.67894,0.6182,0.62554,0.49824,1.51746,1.65779,1.89194,0.0001156,0.0001156,0.0001156
136,3017.82,0.78879,0.68968,1.18011,0.69832,0.59909,0.62217,0.49568,1.53053,1.6856,1.90565,0.000109,0.000109,0.000109
137,3040,0.77643,0.67853,1.17405,0.71526,0.60017,0.62153,0.49763,1.53338,1.67471,1.90073,0.0001024,0.0001024,0.0001024
138,3062.04,0.77738,0.67161,1.17415,0.70009,0.60658,0.62252,0.49604,1.53248,1.66363,1.9017,9.58e-05,9.58e-05,9.58e-05
139,3084.06,0.77594,0.68122,1.17518,0.71016,0.59489,0.62129,0.49712,1.53424,1.66645,1.90391,8.92e-05,8.92e-05,8.92e-05
140,3105.96,0.77276,0.6719,1.17172,0.6979,0.61106,0.62741,0.50071,1.52468,1.65657,1.90376,8.26e-05,8.26e-05,8.26e-05
141,3129.53,0.6679,0.50147,1.05593,0.7098,0.57753,0.61574,0.49276,1.53502,1.68797,1.92862,7.6e-05,7.6e-05,7.6e-05
142,3151.92,0.63579,0.45701,1.03589,0.6616,0.61099,0.61761,0.4942,1.53074,1.67303,1.93062,6.94e-05,6.94e-05,6.94e-05
143,3174.08,0.63135,0.45177,1.0329,0.68574,0.60985,0.62237,0.49653,1.53036,1.6804,1.93363,6.28e-05,6.28e-05,6.28e-05
144,3196.01,0.62564,0.45072,1.02808,0.70606,0.6017,0.62661,0.49806,1.53082,1.67478,1.93286,5.62e-05,5.62e-05,5.62e-05
145,3218.18,0.6156,0.44032,1.02516,0.70951,0.5983,0.62553,0.49885,1.52689,1.67483,1.92831,4.96e-05,4.96e-05,4.96e-05
146,3240.16,0.6199,0.44136,1.01921,0.71725,0.59613,0.62698,0.50077,1.52676,1.66439,1.93971,4.3e-05,4.3e-05,4.3e-05
147,3262.06,0.61637,0.44072,1.02124,0.69334,0.61265,0.62594,0.50154,1.52589,1.6708,1.94337,3.64e-05,3.64e-05,3.64e-05
148,3284.05,0.61708,0.44168,1.02792,0.71606,0.60141,0.62823,0.50233,1.52845,1.67559,1.94409,2.98e-05,2.98e-05,2.98e-05
149,3305.85,0.60938,0.4287,1.01988,0.72264,0.60357,0.63258,0.50208,1.52682,1.67073,1.94212,2.32e-05,2.32e-05,2.32e-05
150,3327.87,0.60913,0.4366,1.01746,0.70716,0.60692,0.63031,0.50123,1.5285,1.67994,1.94151,1.66e-05,1.66e-05,1.66e-05
